Date,Winning numbers
"Dec 14, 2018",2 8
"Dec 13, 2018",0 1
"Dec 12, 2018",8 0
"Dec 11, 2018",7 8
"Dec 10, 2018",7 9
"Dec 09, 2018",2 8
"Dec 08, 2018",7 7
"Dec 07, 2018",0 1
"Dec 06, 2018",2 4
"Dec 05, 2018",6 5
"Dec 04, 2018",7 0
"Dec 03, 2018",6 7
"Dec 02, 2018",6 5
"Dec 01, 2018",1 1
"Nov 30, 2018",2 1
"Nov 29, 2018",3 2
"Nov 28, 2018",3 7
"Nov 27, 2018",1 4
"Nov 26, 2018",0 0
"Nov 25, 2018",8 4
"Nov 24, 2018",2 4
"Nov 23, 2018",0 7
"Nov 22, 2018",5 1
"Nov 21, 2018",0 3
"Nov 20, 2018",6 4
"Nov 19, 2018",6 4
"Nov 18, 2018",7 4
"Nov 17, 2018",9 9
"Nov 16, 2018",8 6
"Nov 15, 2018",1 4
"Nov 14, 2018",7 6
"Nov 13, 2018",4 5
"Nov 12, 2018",5 3
"Nov 11, 2018",9 8
"Nov 10, 2018",3 4
"Nov 09, 2018",1 2
"Nov 08, 2018",3 6
"Nov 07, 2018",3 6
"Nov 06, 2018",5 0
"Nov 05, 2018",9 6
"Nov 04, 2018",6 8
"Nov 03, 2018",1 1
"Nov 02, 2018",3 1
"Nov 01, 2018",9 3
"Oct 31, 2018",8 0
"Oct 30, 2018",0 0
"Oct 29, 2018",8 6
"Oct 28, 2018",2 5
"Oct 27, 2018",1 1
"Oct 26, 2018",3 2
"Oct 25, 2018",8 8
"Oct 24, 2018",7 5
"Oct 23, 2018",7 4
"Oct 22, 2018",7 1
"Oct 21, 2018",0 6
"Oct 20, 2018",5 3
"Oct 19, 2018",5 5
"Oct 18, 2018",7 6
"Oct 17, 2018",0 4
"Oct 16, 2018",5 0
"Oct 15, 2018",9 7
"Oct 14, 2018",7 0
"Oct 13, 2018",6 1
"Oct 12, 2018",9 6
"Oct 11, 2018",5 7
"Oct 10, 2018",8 7
"Oct 09, 2018",5 8
"Oct 08, 2018",1 8
"Oct 07, 2018",4 7
"Oct 06, 2018",6 3
"Oct 05, 2018",0 4
"Oct 04, 2018",1 6
"Oct 03, 2018",8 6
"Oct 02, 2018",3 5
"Oct 01, 2018",8 2
"Sep 30, 2018",6 1
"Sep 29, 2018",6 4
"Sep 28, 2018",0 3
"Sep 27, 2018",7 1
"Sep 26, 2018",6 8
"Sep 25, 2018",2 8
"Sep 24, 2018",6 5
"Sep 23, 2018",0 3
"Sep 22, 2018",8 8
"Sep 21, 2018",1 5
"Sep 20, 2018",7 4
"Sep 19, 2018",9 6
"Sep 18, 2018",7 4
"Sep 17, 2018",6 3
"Sep 16, 2018",9 8
"Sep 15, 2018",5 9
"Sep 14, 2018",2 1
"Sep 13, 2018",8 5
"Sep 12, 2018",4 5
"Sep 11, 2018",4 1
"Sep 10, 2018",7 8
"Sep 09, 2018",4 9
"Sep 08, 2018",5 3
"Sep 07, 2018",6 3
"Sep 06, 2018",9 4
"Sep 05, 2018",4 5
"Sep 04, 2018",0 2
"Sep 03, 2018",4 8
"Sep 02, 2018",0 5
"Sep 01, 2018",4 1
"Aug 31, 2018",0 8
"Aug 30, 2018",0 2
"Aug 29, 2018",7 4
"Aug 28, 2018",3 3
"Aug 27, 2018",9 8
"Aug 26, 2018",0 2
"Aug 25, 2018",0 5
"Aug 24, 2018",7 6
"Aug 23, 2018",3 8
"Aug 22, 2018",5 5
"Aug 21, 2018",0 2
"Aug 20, 2018",3 3
"Aug 19, 2018",8 7
"Aug 18, 2018",9 4
"Aug 17, 2018",2 7
"Aug 16, 2018",4 0
"Aug 15, 2018",9 2
"Aug 14, 2018",6 2
"Aug 13, 2018",5 7
"Aug 12, 2018",0 7
"Aug 11, 2018",8 4
"Aug 10, 2018",2 2
"Aug 09, 2018",4 1
"Aug 08, 2018",0 1
"Aug 07, 2018",6 4
"Aug 06, 2018",4 2
"Aug 05, 2018",8 6
"Aug 04, 2018",6 4
"Aug 03, 2018",8 7
"Aug 02, 2018",6 3
"Aug 01, 2018",4 9
"Jul 31, 2018",7 4
"Jul 30, 2018",1 6
"Jul 29, 2018",9 9
"Jul 28, 2018",1 7
"Jul 27, 2018",3 1
"Jul 26, 2018",0 4
"Jul 25, 2018",4 1
"Jul 24, 2018",8 8
"Jul 23, 2018",8 3
"Jul 22, 2018",1 6
"Jul 21, 2018",8 3
"Jul 20, 2018",3 0
"Jul 19, 2018",5 2
"Jul 18, 2018",3 0
"Jul 17, 2018",6 7
"Jul 16, 2018",5 3
"Jul 15, 2018",4 2
"Jul 14, 2018",0 2
"Jul 13, 2018",8 7
"Jul 12, 2018",2 0
"Jul 11, 2018",3 9
"Jul 10, 2018",8 2
"Jul 09, 2018",8 0
"Jul 08, 2018",2 6
"Jul 07, 2018",6 3
"Jul 06, 2018",7 8
"Jul 05, 2018",1 1
"Jul 04, 2018",3 1
"Jul 03, 2018",3 0
"Jul 02, 2018",0 2
"Jul 01, 2018",0 8
"Jun 30, 2018",0 3
"Jun 29, 2018",9 5
"Jun 28, 2018",7 0
"Jun 27, 2018",0 3
"Jun 26, 2018",4 9
"Jun 25, 2018",8 8
"Jun 24, 2018",3 4
"Jun 23, 2018",3 6
"Jun 22, 2018",1 0
"Jun 21, 2018",1 1
"Jun 20, 2018",8 3
